FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,PRIORIZACION,ZONA,DIFICULTADACCESO,NOMBRE_CENTRO_POBLADO,TIPO_SITIO,TIPO_CONECTIVIDAD,NOMBRE_INSTITUCION_EDUCATIVA,NOMBRE_SEDE_EDUCATIVA,ESTADOS,TIPO_ENERGIA,DETALLE_SITIO,USUARIOS_ACTIVOS_MES,VELOCIDAD_CONEXION_SUBIDA,VELOCIDAD_CONEXION_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,INVERSION,META
2020-07-31,SANTANDER,VELEZ,NO APLICA,RURAL,BAJO,VEREDA LA DOCTRINA,SEDES EDUCATIVAS,SATELITAL,CENTRO EDUCATIVO  LOS GUAYABOS,ESCUELA RURAL LA DOCTRINA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,HATO,NO APLICA,RURAL,SIN INFORMACION,VEREDA LA LAGUNA,SEDES EDUCATIVAS,SATELITAL,INSTITUTO TECNICO AGROPECUARIO,ESCUELA RURAL LA LAGUNA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,GUACA,NO APLICA,RURAL,SIN INFORMACION,VEREDA CAMARA,SEDES EDUCATIVAS,SATELITAL,INSTITUTO  TECNICO AGROPECUARIO NUESTRA SEÑORA DEL SOCORRO,ESCUELA RURAL  SANTA ANA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SAN MIGUEL,NO APLICA,RURAL,BAJO,VEREDA PAMPLONITA,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO MONSE¿OR EVARISTO BLANCO,ESCUELA RURAL PAMPLONITA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,EL CARMEN DE CHUCURI,AUS,RURAL,BAJO,VEREDA TAMBO REDONDO,SEDES EDUCATIVAS,SATELITAL,COLEGIO  SAN LUIS GONZAGA,ESCUELA RURAL TAMBO REDONDO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,MALAGA,NO APLICA,RURAL,MEDIO,PANTANO GRANDE,SEDES EDUCATIVAS,SATELITAL,INSTITUTO TECNICO INDUSTRIAL EMETERIO DUARTE SUAREZ,ESCUELA RURAL PANTANO GRANDE,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,LOS SANTOS,AUS,RURAL,BAJO,VEREDA LA MOJARRA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  LA FUENTE,ESCUELA RURAL LA MOJARRA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,BETULIA,AUS,RURAL,BAJO,CORREGIMIENTO LA PUTANA,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO NUESTRA SE¿ORA DE LA PAZ,COLEGIO INTEGRADO NUESTRA SEÑORA DE LA PAZ,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,BOLIVAR,AUS,RURAL,BAJO,CORRREGIMIENTO DE BERBEO,SEDES EDUCATIVAS,SATELITAL,COLEGIO  AGROPECUARIO SAN ANTONIO DE PADUA,COLEGIO  AGROPECUARIO SAN ANTONIO DE PADUA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,LEBRIJA,AUS,RURAL,BAJO,CORREGIMIENTO EL CENTENARIO,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  LA ESTACION,ESCUELA RURAL  CENTENARIO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,LEBRIJA,NO APLICA,RURAL,SIN INFORMACION,VEREDA MANCHADORES,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO NUESTRA SE¿ORA DE LAS MERCEDES,ESCUELA RURAL MANCHADORES,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CONCEPCION,NO APLICA,RURAL,MEDIO,VEREDA BARBULA - SECTOR BETANIA,SEDES EDUCATIVAS,SATELITAL,INSTITUTO TECNICO AGROPECUARIO FELIPE CORDERO,ESCUELA RURAL BETANIA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,GIRON,NO APLICA,RURAL,SIN INFORMACION,VEREDA CHOCOA,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO LLANO GRANDE,ESCUELA RURAL CHOCOA,EN PLANEACION,SIN INFORMACION,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,VALLE DE SAN JOSE,NO APLICA,RURAL,BAJO,VEREDA PIEDRA DE RAYO,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  EL MORRO,ESCUELA RURAL LLANO HONDO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,BUCARAMANGA,NO APLICA,RURAL,SIN INFORMACION,KILOMETRO 10 VIA BOSCONIA SANTA RITA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA RURAL BOSCONIA.,INSTITUCION EDUCATIVA RURAL BOSCONIA SEDE C  LOS SANTOS,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SAN MIGUEL,NO APLICA,RURAL,BAJO,VEREDA CENACUTA,SEDES EDUCATIVAS,SATELITAL,COLEGIO INTEGRADO MONSE¿OR EVARISTO BLANCO,ESCUELA RURAL CENACUTA,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,ZAPATOCA,NO APLICA,RURAL,BAJO,VEREDA LAS PUENTES,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA  LAS PUENTES,INSTITUCION EDUCATIVA LAS PUENTES,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,SANTA HELENA DEL OPON,NO APLICA,RURAL,MEDIO,LA ARAGUA,SEDES EDUCATIVAS,SATELITAL,COLEGIO JOSE ANTONIO BELTRAN,COLEGIO JOSE ANTONIO BELTRAN,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
2020-07-31,SANTANDER,CIMITARRA,NO APLICA,RURAL,MEDIO,VEREDA PERDIDA MEDIA,SEDES EDUCATIVAS,SATELITAL,INSTITUCION EDUCATIVA LA PERDIDA ALTA,ESCUELA RURAL EL CERRITO,EN PLANEACION,RED INTERCONECTADA,INSTITUCION EDUCATTIVA,35,5,10,199,18,227217563,2560
