AÑO,TRIMESTRE,DEPARTAMENTO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2017,3,SANTANDER,BETULIA,0,5061,0
2017,4,SANTANDER,BUCARAMANGA,0,528497,0
2017,3,SANTANDER,SANTA BARBARA,0,2100,0
2017,4,SANTANDER,MACARAVITA,0,2299,0
2020,2,SANTANDER,BOLIVAR,68,10980,"0,0062"
2017,3,SANTANDER,MALAGA,0,18308,0
2017,4,SANTANDER,CHIMA,0,3042,0
2020,2,SANTANDER,CEPITA,79,2025,"0,039"
2017,3,SANTANDER,EL GUACAMAYO,0,1943,0
2017,4,SANTANDER,SIMACOTA,0,7593,0
2017,4,SANTANDER,EL PLAYON,0,11520,0
2017,3,SANTANDER,SAN JOAQUIN,0,2407,0
2017,4,SANTANDER,ZAPATOCA,0,8847,0
2017,4,SANTANDER,GALAN,0,2196,0
2017,4,SANTANDER,SAN MIGUEL,0,2310,0
2020,2,SANTANDER,GALAN,63,2891,"0,0218"
2020,2,SANTANDER,SAN ANDRES,43,8596,"0,005"
2019,2,SANTANDER,VELEZ,579,24843,"0,0233"
2017,4,SANTANDER,LA BELLEZA,0,8594,0
2017,4,SANTANDER,ALBANIA,0,5230,0
2017,3,SANTANDER,PINCHOTE,0,5373,0
2017,4,SANTANDER,CONCEPCION,0,5177,0
2020,2,SANTANDER,SAN MIGUEL,28,2478,"0,0113"
2020,2,SANTANDER,BARICHARA,892,10815,"0,0825"
2017,4,SANTANDER,COROMORO,0,7612,0
2017,3,SANTANDER,CIMITARRA,0,47096,0
2017,3,SANTANDER,HATO,0,2331,0
2017,4,SANTANDER,ONZAGA,0,4946,0
2020,2,SANTANDER,SUCRE,26,7064,"0,0037"
2017,4,SANTANDER,PUERTO WILCHES,0,31501,0
2017,4,SANTANDER,SABANA DE TORRES,0,18325,0
2020,2,SANTANDER,VELEZ,686,25219,"0,0272"
2017,3,SANTANDER,VALLE DE SAN JOSE,0,4551,0
2020,2,SANTANDER,PUERTO PARRA,280,8017,"0,0349"
2017,4,SANTANDER,GsEPSA,0,3772,0
2017,4,SANTANDER,PARAMO,0,4201,0
2017,4,SANTANDER,LA PAZ,0,5075,0
2017,4,SANTANDER,ENCINO,0,2459,0
2017,4,SANTANDER,CERRITO,0,5596,0
2020,2,SANTANDER,PALMAS DEL SOCORRO,18,2626,"0,0069"
2017,4,SANTANDER,BARICHARA,0,7112,0
2017,3,SANTANDER,FLORIDABLANCA,0,266617,0
2017,4,SANTANDER,CONTRATACION,0,3409,0
2020,2,SANTANDER,CABRERA,14,2021,"0,0069"
2017,3,SANTANDER,SAN VICENTE DE CHUCURI,0,34881,0
2017,4,SANTANDER,FLORIAN,0,6284,0
2020,2,SANTANDER,VILLANUEVA,141,7982,"0,0177"
2020,2,SANTANDER,ENCINO,19,2583,"0,0074"
2020,2,SANTANDER,TONA,122,7718,"0,0158"
2020,2,SANTANDER,OCAMONTE,20,5810,"0,0034"
2017,3,SANTANDER,MACARAVITA,0,2299,0
2020,2,SANTANDER,ENCISO,31,3445,"0,009"
2020,2,SANTANDER,CIMITARRA,1073,34403,"0,0312"
2017,3,SANTANDER,SUCRE,0,8246,0
2017,4,SANTANDER,SAN JOSE DE MIRANDA,0,4256,0
2020,2,SANTANDER,FLORIAN,21,5589,"0,0038"
2017,3,SANTANDER,LANDAZURI,0,15418,0
2020,1,SANTANDER,SAN GIL,8034,59670,"0,1346"
2020,2,SANTANDER,PUERTO WILCHES,985,34206,"0,0288"
2017,3,SANTANDER,ENCINO,0,2459,0
2017,3,SANTANDER,LOS SANTOS,0,12423,0
2020,2,SANTANDER,LANDAZURI,94,10588,"0,0089"
2017,4,SANTANDER,EL GUACAMAYO,0,1943,0
2017,3,SANTANDER,SAN JOSE DE MIRANDA,0,4256,0
2017,4,SANTANDER,CIMITARRA,0,47096,0
2020,2,SANTANDER,PINCHOTE,264,5385,"0,049"
2017,3,SANTANDER,GIRON,0,190350,0
2017,3,SANTANDER,VETAS,0,2454,0
2017,3,SANTANDER,BOLIVAR,0,12060,0
2017,4,SANTANDER,PINCHOTE,0,5373,0
2017,3,SANTANDER,LA BELLEZA,0,8594,0
2017,4,SANTANDER,GIRON,0,190350,0
2020,2,SANTANDER,PALMAR,18,1407,"0,0128"
2020,2,SANTANDER,COROMORO,23,5024,"0,0046"
2020,2,SANTANDER,GUAVATA,20,4191,"0,0048"
2017,4,SANTANDER,EL CARMEN DE CHUCURI,0,20476,0
2017,4,SANTANDER,SAN GIL,0,45752,0
2020,2,SANTANDER,CURITI,467,13283,"0,0352"
2017,3,SANTANDER,GUADALUPE,0,4604,0
2017,3,SANTANDER,SAN ANDRES,0,8315,0
2020,2,SANTANDER,ALBANIA,10,4336,"0,0023"
2017,3,SANTANDER,ZAPATOCA,0,8847,0
2017,3,SANTANDER,MATANZA,0,5201,0
2017,3,SANTANDER,BARRANCABERMEJA,0,191616,0
2020,2,SANTANDER,MOLAGAVITA,32,4106,"0,0078"
2020,2,SANTANDER,GUAPOTA,27,2413,"0,0112"
2017,3,SANTANDER,BUCARAMANGA,0,528497,0
2017,3,SANTANDER,EL CARMEN DE CHUCURI,0,20476,0
2017,4,SANTANDER,PIEDECUESTA,0,156207,0
2017,3,SANTANDER,LA PAZ,0,5075,0
2017,4,SANTANDER,VELEZ,0,18932,0
2020,2,SANTANDER,BARBOSA,3208,32653,"0,0982"
2017,4,SANTANDER,RIONEGRO,0,26680,0
2017,3,SANTANDER,VELEZ,0,18932,0
2017,3,SANTANDER,JESUS MARIA,0,3080,0
2017,3,SANTANDER,SAN GIL,0,45752,0
2020,2,SANTANDER,SAN VICENTE DE CHUCURI,845,33593,"0,0252"
2020,2,SANTANDER,SAN BENITO,14,2972,"0,0047"
2017,4,SANTANDER,MALAGA,0,18308,0
2020,2,SANTANDER,CONCEPCION,135,5757,"0,0234"
2017,4,SANTANDER,GUACA,0,6296,0
2017,4,SANTANDER,AGUADA,0,1800,0
2020,2,SANTANDER,SANTA HELENA DEL OPON,13,3411,"0,0038"
2017,3,SANTANDER,AGUADA,0,1800,0
2019,4,SANTANDER,SAN GIL,7854,58032,"0,1353"
2017,4,SANTANDER,CABRERA,0,2356,0
2017,3,SANTANDER,LEBRIJA,0,40252,0
2017,4,SANTANDER,CHARTA,0,2592,0
2017,3,SANTANDER,ARATOCA,0,8291,0
